代码,名称,综合得分,选股日价格,次日开盘价,次日收益%,胜负
600497,驰宏锌锗,0.4735,10.1,10.0,-0.99,负
300710,万隆光电,0.4734,36.36,36.36,0.0,平
688618,三旺通信,0.4726,33.4,33.02,-1.14,负
300956,英力股份,0.472,12.3,12.23,-0.57,负
688557,兰剑智能,0.4718,29.94,29.94,0.0,平
002132,恒星科技,0.4718,5.18,5.17,-0.19,负
002532,天山铝业,0.4716,12.55,12.46,-0.72,负
002819,东方中科,0.4713,21.36,21.31,-0.23,负
300809,华辰装备,0.4711,30.91,30.61,-0.97,负
002379,宏桥控股,0.471,17.01,16.86,-0.88,负
002943,宇晶股份,0.4707,51.58,52.59,1.96,胜
688120,华海清科,0.4694,222.31,225.06,1.24,胜
300698,万马科技,0.4687,31.9,31.8,-0.31,负
301536,星宸科技,0.4685,110.06,110.06,0.0,平
002633,申科股份,0.4683,16.19,16.2,0.06,胜
688059,华锐精密,0.4682,196.15,194.33,-0.93,负
002639,雪人集团,0.4681,14.51,14.49,-0.14,负
301413,安培龙,0.4681,80.89,81.49,0.74,胜
002026,山东威达,0.468,11.99,11.95,-0.33,负
300661,圣邦股份,0.4677,131.55,132.67,0.85,胜
600745,*ST闻泰,0.4677,17.76,17.4,-2.03,负
300557,理工光科,0.4676,31.05,30.88,-0.55,负
601388,怡球资源,0.4674,3.16,3.15,-0.32,负
300157,新锦动力,0.4668,4.06,4.06,0.0,平
300161,华中数控,0.4655,30.86,31.07,0.68,胜
003025,思进智能,0.4655,16.6,16.6,0.0,平
300906,日月明,0.4645,27.33,27.06,-0.99,负
000530,冰山冷热,0.464,5.56,5.53,-0.54,负
688052,纳芯微,0.4639,264.8,266.66,0.7,胜
002855,捷荣技术,0.4635,10.88,10.89,0.09,胜
300228,富瑞特装,0.462,7.88,7.83,-0.63,负
